SegmentID,SegmentMapPointSequence,MapPointID
1,1,184
1,2,185
1,3,186
1,4,187
1,5,188
1,6,189
2,1,190
2,2,191
4,1,194
4,2,195
4,3,196
4,4,197
4,5,198
4,6,199
4,7,200
4,8,18
4,9,19
4,10,20
4,11,21
4,12,22
4,13,201
6,1,126
6,2,127
6,3,128
6,4,129
6,5,130
6,6,131
6,7,132
6,8,133
6,9,134
6,10,135
6,11,136
6,12,137
6,13,138
6,14,139
6,15,140
6,16,141
6,17,142
6,18,143
6,19,144
6,20,145
6,21,146
6,22,147
6,23,148
6,24,149
6,25,150
6,26,151
6,27,152
6,28,153
6,29,154
6,30,155
6,31,156
6,32,157
6,33,158
6,34,159
6,35,160
6,36,161
6,37,162
6,38,163
6,39,164
6,40,165
6,41,166
6,42,167
6,43,168
6,44,169
6,45,170
6,46,171
6,47,172
6,48,173
6,49,174
6,50,175
6,51,176
6,52,177
6,53,178
6,54,179
6,55,180
6,56,181
6,57,182
6,58,183
7,1,192
7,2,193
8,2,23
8,3,24
8,4,25
8,5,26
8,6,27
8,7,28
8,8,29
8,9,30
8,10,31
8,11,32
8,12,33
8,13,34
8,14,35
8,15,36
8,16,37
8,17,38
8,18,39
8,19,40
8,20,41
8,21,42
8,22,43
8,23,44
8,24,45
8,25,46
8,26,47
8,27,48
8,28,49
8,29,50
8,30,51
8,31,52
8,32,53
8,33,54
8,34,55
8,36,56
8,37,57
8,38,58
8,39,59
8,40,60
8,41,61
8,42,62
8,43,63
8,44,64
8,45,65
8,46,66
8,47,67
8,48,68
8,49,69
8,50,70
8,51,71
8,52,72
8,53,73
8,54,74
8,55,75
8,56,76
8,57,77
8,58,78
8,59,79
9,2,80
9,3,81
9,4,82
9,5,83
9,6,84
9,7,85
9,8,86
9,9,87
9,10,88
9,11,89
9,12,90
9,13,91
9,14,92
9,15,93
9,16,94
9,17,95
9,18,96
9,19,97
9,20,98
9,21,99
9,22,100
9,23,101
9,24,102
9,25,103
9,26,104
9,27,105
9,28,106
9,29,107
9,30,108
9,32,109
9,33,110
9,34,111
9,35,112
9,36,113
9,37,114
9,38,115
9,39,116
9,40,117
9,41,118
9,42,119
9,43,120
9,44,121
9,45,122
9,46,123
9,47,124
9,48,125
