WaterstopID,WaterstopName,WaterstopDescription,lat,lon
1,Sturbridge,Sturbridge,42.1017661,-72.1498186
2,Whitinsville,Whitinsville,42.1146436,-71.6895811
3,Franklin,Franklin,42.058339,-71.41636
4,Dighton Rehoboth,Dighton Rehoboth,41.8519348,-71.2030106
5,Wareham,Wareham,41.7544763,-70.6988275
6,Mass Maritime Academy,Mass Maritime Academy,41.7408513,-70.6220555
7,Barnstable,Barnstable,41.693277,-70.2867777
8,Brewster,Brewster,41.775664,-70.0328457
9,Province Town,Province Town,42.037038,-70.1984947
10,Middleboro,Middleboro,41.907339,-70.889621
11,Patriot Place,Patriot Place,42.088364,-71.261623
12,Walpole,Walpole,42.163221,-71.237889
13,Babson,Babson,42.295962,-71.263598
14,Medfield,Medfield,42.186932,-71.296431
15,Wrentham,Wrentham,42.083569,-71.326356
