"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID"
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",1,1
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",2,2
1,"2 Day","Sturbridge to P-Town Inn","Sturbridge to P-Town Inn",3,4
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",1,1
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",2,2
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",3,7
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9
4,"2 Day","Babson to P-Town","Babson to P-Town",1,6
4,"2 Day","Babson to P-Town","Babson to P-Town",2,2
4,"2 Day","Babson to P-Town","Babson to P-Town",3,4
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",1,1
6,"1 Day","Sturbridge to MMA","Sturbridge to MMA",2,2
7,"1 Day","Babson to MMA","Babson to MMA",1,6
7,"1 Day","Babson to MMA","Babson to MMA",2,2
8,"1 Day","MMA to Babson","MMA to Babson",1,7
8,"1 Day","MMA to Babson","MMA to Babson",2,9
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8
